datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,MIDATL,-1.845
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,OTHER,-0.050
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,SOUTH,-5.234
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,WEST,-2.771
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RTO,-9.850
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RFC,-4.616
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,MIDATL,-1.916
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,OTHER,-0.060
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,SOUTH,-4.996
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,WEST,-1.765
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RTO,-8.677
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RFC,-3.681
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,MIDATL,-1.865
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,OTHER,-0.050
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,SOUTH,-5.029
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,WEST,-3.760
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RTO,-10.654
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RFC,-5.625
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,MIDATL,-1.846
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,OTHER,-0.060
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,SOUTH,-4.991
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,WEST,-1.767
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RTO,-8.604
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RFC,-3.613
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,MIDATL,-1.869
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,OTHER,-0.050
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,SOUTH,-5.070
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,WEST,-2.775
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RTO,-9.714
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RFC,-4.644
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,MIDATL,-3.808
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,OTHER,-0.060
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,SOUTH,-4.992
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,WEST,-1.451
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RTO,-10.251
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RFC,-5.259
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,MIDATL,-1.942
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,OTHER,-0.047
